word,x,y
の,6.844694137573242,-2.834047794342041
、,3.718677043914795,-1.3495869636535645
。,4.296755790710449,-0.27501529455184937
に,3.9608163833618164,-1.8388903141021729
は,5.174283981323242,-1.2924747467041016
を,7.449972152709961,-5.267027854919434
た,3.8353519439697266,-1.494403600692749
が,8.345671653747559,-3.110119581222534
で,6.861311435699463,-1.0682151317596436
て,8.3259916305542,-3.341270923614502
と,5.973645210266113,-3.9890594482421875
し,3.2322263717651367,-2.457247495651245
(,-4.404247283935547,3.848715305328369
れ,5.478833198547363,4.037972927093506
さ,5.122611999511719,3.2603366374969482
),-2.7748701572418213,5.188194751739502
ある,8.849135398864746,-3.729318618774414
いる,9.074267387390137,-0.4721492528915405
する,9.50317668914795,-3.4700982570648193
も,9.406641960144043,-3.855663776397705
「,2.8353395462036133,-3.007298469543457
・,-2.0491223335266113,2.844517707824707
」,4.685850620269775,-3.549755573272705
から,1.6947752237319946,0.5428593754768372
こと,9.768084526062012,-6.218014240264893
な,14.706151962280273,-9.272760391235352
として,3.859574794769287,-1.4251108169555664
い,1.7713192701339722,-4.653600692749023
や,8.353626251220703,-5.664846897125244
なっ,2.0645813941955566,-3.3335795402526855
れる,10.273954391479492,1.340134859085083
など,9.03115177154541,-2.8302817344665527
『,-3.2701964378356934,-0.28585273027420044
この,7.333918571472168,-5.1361894607543945
ない,15.25369644165039,-7.72939920425415
-,-7.011368274688721,13.899909019470215
』,0.18949413299560547,-0.8995853066444397
ため,7.466628074645996,-3.7638158798217773
あっ,2.1194324493408203,-6.36191463470459
その,7.850539207458496,-8.376103401184082
的,10.692254066467285,-4.842746257781982
また,4.692268371582031,-0.5584850907325745
まで,-0.3570326566696167,5.052122116088867
よう,9.471176147460938,-6.871702194213867
へ,0.39735913276672363,-2.2121458053588867
られ,3.8857192993164062,-3.527254581451416
あり,9.547926902770996,-4.753101825714111
なる,5.783886909484863,-3.383153200149536
という,8.930916786193848,-7.676145553588867
後,-5.752281188964844,1.1999552249908447
もの,11.350807189941406,-3.14542293548584
2,4.39854621887207,7.361393451690674
1,4.797192573547363,7.845524787902832
第,-4.5821614265441895,9.524209976196289
"""",4.764001846313477,0.3677038252353668
中,2.867126941680908,-2.2566215991973877
だ,4.170017719268799,-7.98146915435791
おり,9.227096557617188,-1.16227126121521
により,1.9661911725997925,1.4545001983642578
これ,5.679577350616455,-3.546635389328003
より,3.308769702911377,3.690882682800293
によって,4.872694969177246,-1.6416640281677246
",",-1.905301809310913,10.342519760131836
)、,-5.087839126586914,3.933898448944092
現在,-0.3360603451728821,7.3975958824157715
による,4.094610214233398,0.32925504446029663
)。,0.43225085735321045,4.272521018981934
3,3.3763327598571777,7.018599987030029
.,1.958290457725525,9.322698593139648
者,1.9884506464004517,-4.769623279571533
なり,1.4393097162246704,-3.2696943283081055
だっ,-0.7708384990692139,-5.413003444671631
ず,6.4148054122924805,-4.133467674255371
か,7.064655303955078,-6.860260486602783
において,3.100050449371338,1.9209420680999756
なかっ,1.2209635972976685,-5.5053935050964355
られる,9.32921314239502,-3.094883441925049
場合,14.973909378051758,0.10541123151779175
時,1.7200759649276733,-0.6562570929527283
行わ,-1.4357949495315552,6.785672187805176
その後,-6.0950493812561035,0.9239460825920105
[日本],-3.9341444969177246,4.106995105743408
多く,8.266265869140625,-4.563639163970947
なく,10.112471580505371,-6.607146739959717
について,6.226548194885254,-1.6951534748077393
名,-1.9633690118789673,2.0748279094696045
せ,2.1096696853637695,-5.9709672927856445
しかし,0.8368065357208252,-3.453160524368286
ば,9.013152122497559,-5.341765880584717
間,0.5494271516799927,0.9330992698669434
4,2.8734540939331055,7.64847469329834
できる,14.570606231689453,0.2883296310901642
それ,7.816797256469727,-6.434408664703369
上,9.697705268859863,-2.330688953399658
使用,10.094686508178711,5.368422985076904
内,4.537909030914307,2.8075695037841797
日本,-2.2717628479003906,4.187434196472168
化,7.752861022949219,2.985921621322632
他,6.546991348266602,-0.5194078683853149
作品,2.6720032691955566,1.0370694398880005
放送,-1.8640971183776855,10.8912935256958
当時,-3.6618008613586426,1.2606611251831055
存在,8.380536079406738,-2.305752754211426
数,7.675809860229492,2.313389778137207
呼ば,1.4128791093826294,-5.4693827629089355
5,2.745565891265869,7.039829730987549
前,-0.31891196966171265,-0.23832827806472778
う,0.6085602045059204,-9.94453239440918
受け,-5.673269748687744,-3.6345090866088867
人,0.07417547702789307,-6.815441131591797
本,5.155773639678955,2.2197601795196533
等,6.234465599060059,1.6982059478759766
同,-1.688115119934082,5.307175159454346
および,0.6149821281433105,5.672919273376465
戦,-4.271535873413086,5.546991348266602
でき,6.664649486541748,-1.9437496662139893
なお,2.704087734222412,3.850412607192993
出身,-13.428238868713379,-0.3838564157485962
彼,-2.5733699798583984,-9.256098747253418
のみ,6.9715704917907715,4.194367408752441
行っ,-3.134456157684326,-0.4136989116668701
約,1.7188838720321655,7.467034339904785
：,-5.105038166046143,5.986730575561523
発売,-0.685668408870697,13.977107048034668
活動,-5.280488967895508,0.4559125602245331
以下,6.512826442718506,6.054139614105225
同年,-11.587934494018555,7.183966636657715
』(,-8.240050315856934,0.9014118909835815
初,-7.691256046295166,8.494963645935059
目,0.6858142614364624,1.1838175058364868
における,2.560770034790039,1.3723042011260986
ら,-7.800806522369385,-6.467885971069336
一部,4.997681617736816,3.2248730659484863
6,1.746087908744812,6.624231815338135
さらに,1.6047521829605103,0.45963937044143677
いう,0.8682831525802612,-7.84941291809082
以降,-2.349769115447998,6.710413932800293
時代,-2.1104118824005127,-3.0389630794525146
/,1.693581461906433,7.421618461608887
き,0.18822014331817627,-5.344930648803711
際,1.1641846895217896,-3.2121951580047607
:,-1.125532627105713,7.6714348793029785
大,0.09806597232818604,-1.6993250846862793
元,-5.220089435577393,-0.579254150390625
部,2.4815406799316406,4.762111186981201
一,1.9981216192245483,-2.2825798988342285
多い,9.754112243652344,-1.4956247806549072
主,3.3118295669555664,1.2151975631713867
発表,-5.159237384796143,8.131893157958984
開始,-3.7422375679016113,10.01278018951416
作,0.24459707736968994,1.7301652431488037
出場,-4.7181315422058105,7.120658874511719
地域,3.9450268745422363,3.634791851043701
用,8.525227546691895,6.718997955322266
(),-1.0560333728790283,2.379568338394165
登場,3.314211368560791,0.13665646314620972
事,5.993768215179443,-5.208039283752441
以上,7.770567893981934,2.4212710857391357
試合,-0.47617602348327637,5.170276641845703
開発,4.40896463394165,8.071510314941406
中心,-0.4704430103302002,0.9939460158348083
見,5.846480369567871,-9.706183433532715
だけ,8.306458473205566,-3.7223565578460693
形,8.37105941772461,2.545042037963867
軍,-3.810080051422119,-4.247520923614502
側,4.296443939208984,-1.391796588897705
用い,9.703847885131836,-1.2386341094970703
世界,3.452141284942627,-0.3707081079483032
記録,-1.1265435218811035,4.020725250244141
同じ,5.931903839111328,-1.2931065559387207
可能,13.539599418640137,6.701480865478516
所属,-7.820737361907959,6.34188985824585
参加,-7.906352519989014,2.9140336513519287
0,6.820366382598877,6.126112461090088
万,-1.2910075187683105,5.744673728942871
たち,-0.41824740171432495,-12.610901832580566
チーム,0.7665334939956665,5.844149589538574
にて,-7.815732479095459,6.62792444229126
に対して,4.955316543579102,-3.7884044647216797
開催,-8.420074462890625,11.807024955749512
行う,4.980376243591309,1.5355339050292969
型,11.568129539489746,6.586818695068359
家,-5.002327919006348,-8.884432792663574
考え,5.252814769744873,-9.262718200683594
たり,7.716547012329102,-6.055627346038818
利用,9.99148941040039,2.360680103302002
性,13.192878723144531,-3.105914354324341
番組,1.6621423959732056,4.942140102386475
頃,-6.229863166809082,-0.43554627895355225
全,0.869083046913147,7.601953506469727
」(,-4.134660243988037,1.325049877166748
必要,12.055047035217285,0.26430121064186096
持つ,7.137818336486816,-4.039500713348389
知ら,-1.4448955059051514,-6.578948497772217
下,0.20164167881011963,-1.3093149662017822
せる,7.619625091552734,-5.1478590965271
設置,1.0557550191879272,8.133200645446777
務め,-14.391115188598633,-0.3918938636779785
なら,4.725926399230957,-3.6345443725585938
各,6.348549842834473,4.002248764038086
機,3.51285457611084,7.884488582611084
位置,7.239058494567871,3.2892608642578125
[アメリカ合衆国],-4.105169296264648,5.549704074859619
版,2.634650707244873,8.753462791442871
年,-5.274434566497803,4.099979400634766
これら,9.137399673461914,-1.1988945007324219
特に,5.394931316375732,-1.215782642364502
関係,3.666965961456299,-3.265308380126953
とともに,-3.574632167816162,-1.1153128147125244
線,5.200295925140381,6.031345844268799
7,1.0726267099380493,6.566311359405518
シーズン,-2.6253931522369385,9.209978103637695
出演,-6.45428991317749,2.552196502685547
そして,-2.1642751693725586,-3.157769203186035
選手,-0.37850165367126465,2.8101022243499756
影響,3.453118324279785,-3.7253236770629883
